record_id,title,abstract,authors,year,label_included,review_id,source
CD014769_pub2_21,Nakamura 2006,"",Nakamura,2006,1,CD014769_pub2,pairwise70_included
CD012718_pub2_excl_3,Topic-related study 3,"",Author_3610,2021,0,CD012718_pub2,synthetic_excluded
CD008940_pub4_excl_21,Topic-related study 21,"",Author_1783,2021,0,CD008940_pub4,synthetic_excluded
CD014758_pub3_53,Chia 2023,"",Chia,2023,1,CD014758_pub3,pairwise70_included
CD001920_pub4_79,Torres-Arreola 2009,"",Torres-Arreola,2009,1,CD001920_pub4,pairwise70_included
CD013421_pub2_4,Schenk 2002,"",Schenk,2002,1,CD013421_pub2,pairwise70_included
CD003331_pub6_excl_28,Topic-related study 28,"",Author_7593,2008,0,CD003331_pub6,synthetic_excluded
CD005133_pub4_2,Koetz 2001 Kidney/liver,"",Koetz,2001,1,CD005133_pub4,pairwise70_included
CD008349_pub5_excl_161,Topic-related study 161,"",Author_5890,2021,0,CD008349_pub5,synthetic_excluded
CD015373_pub2_excl_26,Topic-related study 26,"",Author_4074,2000,0,CD015373_pub2,synthetic_excluded
CD006257_pub2_38,Hansen 1994,"",Hansen,1994,1,CD006257_pub2,pairwise70_included
CD014820_pub2_excl_15,Topic-related study 15,"",Author_8634,2002,0,CD014820_pub2,synthetic_excluded
CD003962_pub3_excl_2,Topic-related study 2,"",Author_4836,2011,0,CD003962_pub3,synthetic_excluded
CD013781_pub2_excl_12,Topic-related study 12,"",Author_7648,2018,0,CD013781_pub2,synthetic_excluded
CD009679_pub3_excl_17,Topic-related study 17,"",Author_6859,2017,0,CD009679_pub3,synthetic_excluded
CD008145_pub4_excl_16,Topic-related study 16,"",Author_9407,2011,0,CD008145_pub4,synthetic_excluded
CD002042_pub6_44,Taccone 2024 (TRAIN),"",Taccone,2024,1,CD002042_pub6,pairwise70_included
CD012067_pub3_excl_23,Topic-related study 23,"",Author_1708,2020,0,CD012067_pub3,synthetic_excluded
CD002243_pub5_excl_29,Topic-related study 29,"",Author_5725,2022,0,CD002243_pub5,synthetic_excluded
CD014040_pub2_excl_16,Topic-related study 16,"",Author_6554,2012,0,CD014040_pub2,synthetic_excluded
CD011535_pub7_excl_97,Topic-related study 97,"",Author_3843,2020,0,CD011535_pub7,synthetic_excluded
CD015519_pub2_4,Segal 2009,"",Segal,2009,1,CD015519_pub2,pairwise70_included
CD003216_pub3_excl_36,Topic-related study 36,"",Author_3319,2005,0,CD003216_pub3,synthetic_excluded
CD016064_23,Schoenfelder 2000,"",Schoenfelder,2000,1,CD016064,pairwise70_included
CD011330_pub2_9,Leather 1999,"",Leather,1999,1,CD011330_pub2,pairwise70_included
CD002290_pub6_excl_68,Topic-related study 68,"",Author_5429,1996,0,CD002290_pub6,synthetic_excluded
CD015524_pub2_14,Li 2024,"",Li,2024,1,CD015524_pub2,pairwise70_included
CD003598_pub3_excl_90,Topic-related study 90,"",Author_2099,1991,0,CD003598_pub3,synthetic_excluded
CD015373_pub2_excl_9,Topic-related study 9,"",Author_7535,2006,0,CD015373_pub2,synthetic_excluded
CD013874_pub3_5,Komori 2016,"",Komori,2016,1,CD013874_pub3,pairwise70_included
CD008771_pub3_excl_9,Topic-related study 9,"",Author_9313,1993,0,CD008771_pub3,synthetic_excluded
CD003331_pub6_excl_32,Topic-related study 32,"",Author_2596,2018,0,CD003331_pub6,synthetic_excluded
CD004376_pub4_76,Takacs 2017,"",Takacs,2017,1,CD004376_pub4,pairwise70_included
CD013614_pub2_11,Kavanaugh 2009,"",Kavanaugh,2009,1,CD013614_pub2,pairwise70_included
CD013590_pub2_18,Serjeant 1997,"",Serjeant,1997,1,CD013590_pub2,pairwise70_included
CD013358_pub2_excl_47,Topic-related study 47,"",Author_1862,2020,0,CD013358_pub2,synthetic_excluded
CD015160_pub2_excl_9,Topic-related study 9,"",Author_5135,2015,0,CD015160_pub2,synthetic_excluded
CD015495_excl_12,Topic-related study 12,"",Author_8412,2020,0,CD015495,synthetic_excluded
CD013255_pub2_5,Kochiadakis 2007,"",Kochiadakis,2007,1,CD013255_pub2,pairwise70_included
CD006124_pub3_excl_10,Topic-related study 10,"",Author_3687,2006,0,CD006124_pub3,synthetic_excluded
CD006942_pub4_excl_18,Topic-related study 18,"",Author_5336,1994,0,CD006942_pub4,synthetic_excluded
CD009022_pub4_excl_7,Topic-related study 7,"",Author_8357,2013,0,CD009022_pub4,synthetic_excluded
CD011689_pub4_86,Chaudhuri 2015,"",Chaudhuri,2015,1,CD011689_pub4,pairwise70_included
CD016148_excl_15,Topic-related study 15,"",Author_9511,2008,0,CD016148,synthetic_excluded
CD002290_pub6_39,Barratt 1970,"",Barratt,1970,1,CD002290_pub6,pairwise70_included
CD013834_pub2_excl_13,Topic-related study 13,"",Author_5186,2015,0,CD013834_pub2,synthetic_excluded
CD013800_pub2_excl_55,Topic-related study 55,"",Author_5523,2023,0,CD013800_pub2,synthetic_excluded
CD002203_pub5_6,Steinkamp 2007,"",Steinkamp,2007,1,CD002203_pub5,pairwise70_included
CD003962_pub3_excl_38,Topic-related study 38,"",Author_6758,2007,0,CD003962_pub3,synthetic_excluded
CD001431_pub6_excl_42,Topic-related study 42,"",Author_2980,2013,0,CD001431_pub6,synthetic_excluded
CD001431_pub6_excl_146,Topic-related study 146,"",Author_2398,2020,0,CD001431_pub6,synthetic_excluded
CD015219_pub2_excl_12,Topic-related study 12,"",Author_6545,2021,0,CD015219_pub2,synthetic_excluded
CD004925_pub4_3,Charan Kumar 2016,"",Charan Kumar,2016,1,CD004925_pub4,pairwise70_included
CD012586_pub2_excl_165,Topic-related study 165,"",Author_6879,2006,0,CD012586_pub2,synthetic_excluded
CD016148_6,Dahlen 2007,"",Dahlen,2007,1,CD016148,pairwise70_included
CD014914_pub2_excl_15,Topic-related study 15,"",Author_1348,1987,0,CD014914_pub2,synthetic_excluded
CD007024_pub3_excl_1,Topic-related study 1,"",Author_2264,2016,0,CD007024_pub3,synthetic_excluded
CD014722_pub2_5,Hirani 2018,"",Hirani,2018,1,CD014722_pub2,pairwise70_included
CD015373_pub2_excl_30,Topic-related study 30,"",Author_2899,2013,0,CD015373_pub2,synthetic_excluded
CD014428_pub2_6,Özel 2022,"",Özel,2022,1,CD014428_pub2,pairwise70_included
CD014713_pub2_5,Young 2013,"",Young,2013,1,CD014713_pub2,pairwise70_included
CD015014_pub2_excl_4,Topic-related study 4,"",Author_5919,1990,0,CD015014_pub2,synthetic_excluded
CD013105_pub2_excl_37,Topic-related study 37,"",Author_3549,2017,0,CD013105_pub2,synthetic_excluded
CD006185_pub6_excl_60,Topic-related study 60,"",Author_4621,2018,0,CD006185_pub6,synthetic_excluded
CD011762_pub2_excl_26,Topic-related study 26,"",Author_6224,2016,0,CD011762_pub2,synthetic_excluded
CD015332_pub2_2,Morrison 2018 – COMPARE,"",Morrison,2018,1,CD015332_pub2,pairwise70_included
CD009235_pub4_5,Bahgat 2023,"",Bahgat,2023,1,CD009235_pub4,pairwise70_included
CD015087_pub2_19,Moores 1990,"",Moores,1990,1,CD015087_pub2,pairwise70_included
CD006140_pub3_excl_9,Topic-related study 9,"",Author_3061,2022,0,CD006140_pub3,synthetic_excluded
CD008176_pub3_excl_37,Topic-related study 37,"",Author_4745,2016,0,CD008176_pub3,synthetic_excluded
CD002112_pub2_excl_86,Topic-related study 86,"",Author_4183,2020,0,CD002112_pub2,synthetic_excluded
CD000478_pub5_5,Löwenberg 2023,"",Löwenberg,2023,1,CD000478_pub5,pairwise70_included
CD013748_pub2_7,Nieuwkamp 2005,"",Nieuwkamp,2005,1,CD013748_pub2,pairwise70_included
CD015014_pub2_excl_8,Topic-related study 8,"",Author_4395,2015,0,CD015014_pub2,synthetic_excluded
CD013331_pub2_excl_2,Topic-related study 2,"",Author_2382,1987,0,CD013331_pub2,synthetic_excluded
CD013539_pub2_51,t-Alexeev 2020,"",t-Alexeev,2020,1,CD013539_pub2,pairwise70_included
CD001533_pub7_6,Ueda 1988,"",Ueda,1988,1,CD001533_pub7,pairwise70_included
CD007569_pub4_excl_7,Topic-related study 7,"",Author_6473,2015,0,CD007569_pub4,synthetic_excluded
CD015350_pub2_15,Nejabat 2021,"",Nejabat,2021,1,CD015350_pub2,pairwise70_included
CD013462_pub3_8,Singh 2018,"",Singh,2018,1,CD013462_pub3,pairwise70_included
CD004376_pub4_excl_138,Topic-related study 138,"",Author_9647,2014,0,CD004376_pub4,synthetic_excluded
CD012079_pub2_17,Vollebregt 2011,"",Vollebregt,2011,1,CD012079_pub2,pairwise70_included
CD013429_pub2_6,Laakso 2023,"",Laakso,2023,1,CD013429_pub2,pairwise70_included
CD007026_pub7_6,Skvortsova 2004,"",Skvortsova,2004,1,CD007026_pub7,pairwise70_included
CD008165_pub5_23,Gallagher 2011,"",Gallagher,2011,1,CD008165_pub5,pairwise70_included
CD013232_pub2_112,Ghaleiha 2015,"",Ghaleiha,2015,1,CD013232_pub2,pairwise70_included
CD013462_pub3_excl_14,Topic-related study 14,"",Author_8037,2015,0,CD013462_pub3,synthetic_excluded
CD011806_pub2_3,Jorgensen 2010,"",Jorgensen,2010,1,CD011806_pub2,pairwise70_included
CD015875_11,Kong 2021,"",Kong,2021,1,CD015875,pairwise70_included
CD003331_pub6_5,Dracup 2007,"",Dracup,2007,1,CD003331_pub6,pairwise70_included
CD002112_pub2_18,Fjellestad 1987#,"",Fjellestad,1987,1,CD002112_pub2,pairwise70_included
CD016136_excl_22,Topic-related study 22,"",Author_4259,2020,0,CD016136,synthetic_excluded
CD010779_pub2_5,Turton 2005,"",Turton,2005,1,CD010779_pub2,pairwise70_included
CD007130_pub5_excl_5,Topic-related study 5,"",Author_9396,2011,0,CD007130_pub5,synthetic_excluded
CD014871_pub2_6,De Jong 2022,"",De Jong,2022,1,CD014871_pub2,pairwise70_included
CD008176_pub3_47,ATIC 2005,"",ATIC,2005,1,CD008176_pub3,pairwise70_included
CD006185_pub6_excl_128,Topic-related study 128,"",Author_5056,2011,0,CD006185_pub6,synthetic_excluded
CD015373_pub2_5,Schwartzman 2009,"",Schwartzman,2009,1,CD015373_pub2,pairwise70_included
CD016064_9,Rubenstein 1990,"",Rubenstein,1990,1,CD016064,pairwise70_included
CD003519_pub5_58,Gregson 2016,"",Gregson,2016,1,CD003519_pub5,pairwise70_included
CD006475_pub3_6,Hascoët 2011,"",Hascoët,2011,1,CD006475_pub3,pairwise70_included
CD015313_pub2_excl_1,Topic-related study 1,"",Author_4826,1319,0,CD015313_pub2,synthetic_excluded
CD007693_pub3_excl_2,Topic-related study 2,"",Author_9454,2012,0,CD007693_pub3,synthetic_excluded
CD014937_pub2_26,STRENGTH 2022,"",STRENGTH,2022,1,CD014937_pub2,pairwise70_included
CD013105_pub2_excl_6,Topic-related study 6,"",Author_4133,2010,0,CD013105_pub2,synthetic_excluded
CD008145_pub4_32,Habib 2017,"",Habib,2017,1,CD008145_pub4,pairwise70_included
CD013763_pub3_21,Krishna 2019,"",Krishna,2019,1,CD013763_pub3,pairwise70_included
CD010001_pub4_excl_26,Topic-related study 26,"",Author_8106,2003,0,CD010001_pub4,synthetic_excluded
CD013197_pub2_excl_49,Topic-related study 49,"",Author_1497,2016,0,CD013197_pub2,synthetic_excluded
CD013331_pub2_excl_11,Topic-related study 11,"",Author_8734,2013,0,CD013331_pub2,synthetic_excluded
CD015332_pub2_3,Morrison 2020 – MAPS,"",Morrison,2020,1,CD015332_pub2,pairwise70_included
CD015033_pub2_7,Ghergherehchi 2013,"",Ghergherehchi,2013,1,CD015033_pub2,pairwise70_included
CD006942_pub4_excl_20,Topic-related study 20,"",Author_9343,2007,0,CD006942_pub4,synthetic_excluded
CD006919_pub5_16,De Placido 1991,"",De Placido,1991,1,CD006919_pub5,pairwise70_included
CD015331_pub2_19,Jackson 2008 (ACE),"",Jackson,2008,1,CD015331_pub2,pairwise70_included
CD013821_pub2_2,Devulapalli 2018,"",Devulapalli,2018,1,CD013821_pub2,pairwise70_included
CD013425_pub2_excl_40,Topic-related study 40,"",Author_7804,2012,0,CD013425_pub2,synthetic_excluded
CD013255_pub2_excl_10,Topic-related study 10,"",Author_5712,1990,0,CD013255_pub2,synthetic_excluded
CD015524_pub2_11,Loguercio 2012,"",Loguercio,2012,1,CD015524_pub2,pairwise70_included
CD003331_pub6_10,Hambrecht 1998,"",Hambrecht,1998,1,CD003331_pub6,pairwise70_included
CD011627_pub3_excl_4,Topic-related study 4,"",Author_6193,2015,0,CD011627_pub3,synthetic_excluded
CD001920_pub4_152,Bui 2019,"",Bui,2019,1,CD001920_pub4,pairwise70_included
CD001431_pub6_151,Wilkens 2019,"",Wilkens,2019,1,CD001431_pub6,pairwise70_included
CD016148_excl_18,Topic-related study 18,"",Author_4558,2014,0,CD016148,synthetic_excluded
CD007156_pub3_excl_25,Topic-related study 25,"",Author_8795,2013,0,CD007156_pub3,synthetic_excluded
CD011778_pub2_16,Joshi 2020,"",Joshi,2020,1,CD011778_pub2,pairwise70_included
CD011793_pub3_excl_12,Topic-related study 12,"",Author_9957,2019,0,CD011793_pub3,synthetic_excluded
CD001431_pub6_6,Fisher 2020,"",Fisher,2020,1,CD001431_pub6,pairwise70_included
CD007896_pub4_excl_16,Topic-related study 16,"",Author_4778,2017,0,CD007896_pub4,synthetic_excluded
CD006475_pub3_excl_5,Topic-related study 5,"",Author_5581,2009,0,CD006475_pub3,synthetic_excluded
CD003598_pub3_excl_25,Topic-related study 25,"",Author_3381,1994,0,CD003598_pub3,synthetic_excluded
CD014937_pub2_4,Cinotti 2021,"",Cinotti,2021,1,CD014937_pub2,pairwise70_included
CD007639_pub3_excl_14,Topic-related study 14,"",Author_5892,1991,0,CD007639_pub3,synthetic_excluded
CD014802_pub2_excl_1,Topic-related study 1,"",Author_1697,2016,0,CD014802_pub2,synthetic_excluded
CD005566_pub4_excl_47,Topic-related study 47,"",Author_2201,1998,0,CD005566_pub4,synthetic_excluded
CD014722_pub2_excl_82,Topic-related study 82,"",Author_5186,2020,0,CD014722_pub2,synthetic_excluded
CD007896_pub4_excl_12,Topic-related study 12,"",Author_2431,2008,0,CD007896_pub4,synthetic_excluded
CD015448_pub2_8,Li 2022,"",Li,2022,1,CD015448_pub2,pairwise70_included
CD014758_pub3_56,Hu 2023,"",Hu,2023,1,CD014758_pub3,pairwise70_included
CD001396_pub4_excl_14,Topic-related study 14,"",Author_5112,2004,0,CD001396_pub4,synthetic_excluded
CD006536_pub5_excl_16,Topic-related study 16,"",Author_6567,2020,0,CD006536_pub5,synthetic_excluded
CD015215_pub2_16,Ruckley 1988,"",Ruckley,1988,1,CD015215_pub2,pairwise70_included
CD015532_8,Evrard 2021,"",Evrard,2021,1,CD015532,pairwise70_included
CD013255_pub2_10,Kochiadakis 1999a,"",Kochiadakis,1999,1,CD013255_pub2,pairwise70_included
CD006913_pub3_excl_13,Topic-related study 13,"",Author_7947,2021,0,CD006913_pub3,synthetic_excluded
CD011044_pub3_excl_25,Topic-related study 25,"",Author_5977,2018,0,CD011044_pub3,synthetic_excluded
CD012268_pub2_excl_5,Topic-related study 5,"",Author_4000,2007,0,CD012268_pub2,synthetic_excluded
CD001431_pub6_excl_205,Topic-related study 205,"",Author_5131,2012,0,CD001431_pub6,synthetic_excluded
CD001396_pub4_2,Freeman 1999a,"",Freeman,1999,1,CD001396_pub4,pairwise70_included
CD011689_pub4_excl_69,Topic-related study 69,"",Author_6589,2015,0,CD011689_pub4,synthetic_excluded
CD013719_pub2_8,Rajan 2021,"",Rajan,2021,1,CD013719_pub2,pairwise70_included
CD005595_pub4_18,Matthews 2020,"",Matthews,2020,1,CD005595_pub4,pairwise70_included
CD014937_pub2_9,Hoitsma 1987,"",Hoitsma,1987,1,CD014937_pub2,pairwise70_included
CD014758_pub3_excl_4,Topic-related study 4,"",Author_8992,2003,0,CD014758_pub3,synthetic_excluded
CD014040_pub2_excl_17,Topic-related study 17,"",Author_8274,2017,0,CD014040_pub2,synthetic_excluded
CD015746_pub2_4,Patel 2024,"",Patel,2024,1,CD015746_pub2,pairwise70_included
CD012445_pub2_excl_12,Topic-related study 12,"",Author_5876,2019,0,CD012445_pub2,synthetic_excluded
CD013474_pub2_5,Robak 2018,"",Robak,2018,1,CD013474_pub2,pairwise70_included
CD008063_pub3_excl_70,Topic-related study 70,"",Author_1903,2009,0,CD008063_pub3,synthetic_excluded
CD001533_pub7_20,Pecoraro 2003,"",Pecoraro,2003,1,CD001533_pub7,pairwise70_included
CD015328_pub2_excl_77,Topic-related study 77,"",Author_4451,2021,0,CD015328_pub2,synthetic_excluded
CD009752_pub3_12,Fu 2016,"",Fu,2016,1,CD009752_pub3,pairwise70_included
CD012186_pub2_excl_20,Topic-related study 20,"",Author_9573,2020,0,CD012186_pub2,synthetic_excluded
CD013197_pub2_6,Honing 2020,"",Honing,2020,1,CD013197_pub2,pairwise70_included
CD006185_pub6_70,Kwon 2018,"",Kwon,2018,1,CD006185_pub6,pairwise70_included
CD004953_pub5_excl_2,Topic-related study 2,"",Author_5497,2005,0,CD004953_pub5,synthetic_excluded
CD014966_pub2_excl_3,Topic-related study 3,"",Author_9934,2022,0,CD014966_pub2,synthetic_excluded
CD015120_pub2_46,Piper 2018,"",Piper,2018,1,CD015120_pub2,pairwise70_included
CD013539_pub2_excl_50,Topic-related study 50,"",Author_2112,2021,0,CD013539_pub2,synthetic_excluded
CD014964_pub2_excl_73,Topic-related study 73,"",Author_6516,2017,0,CD014964_pub2,synthetic_excluded
CD004661_pub4_excl_5,Topic-related study 5,"",Author_9841,2006,0,CD004661_pub4,synthetic_excluded
CD003331_pub6_36,TELEREH-HF 2020,"",TELEREH-HF,2020,1,CD003331_pub6,pairwise70_included
CD011851_pub3_excl_1,Topic-related study 1,"",Author_7095,2019,0,CD011851_pub3,synthetic_excluded
CD012586_pub2_excl_82,Topic-related study 82,"",Author_2042,2012,0,CD012586_pub2,synthetic_excluded
CD001155_pub3_excl_118,Topic-related study 118,"",Author_5838,2007,0,CD001155_pub3,synthetic_excluded
CD004184_pub3_excl_20,Topic-related study 20,"",Author_4495,1999,0,CD004184_pub3,synthetic_excluded
CD005495_pub5_32,Campbell 2012,"",Campbell,2012,1,CD005495_pub5,pairwise70_included
CD002122_pub3_22,Ceccaroni 2021,"",Ceccaroni,2021,1,CD002122_pub3,pairwise70_included
CD015284_pub2_excl_29,Topic-related study 29,"",Author_9525,2006,0,CD015284_pub2,synthetic_excluded
CD015330_pub2_43,Andrade 2014,"",Andrade,2014,1,CD015330_pub2,pairwise70_included
CD007896_pub4_8,Casas 2013,"",Casas,2013,1,CD007896_pub4,pairwise70_included
CD011800_pub2_excl_1,Topic-related study 1,"",Author_3417,2016,0,CD011800_pub2,synthetic_excluded
CD010583_pub6_excl_12,Topic-related study 12,"",Author_5242,2016,0,CD010583_pub6,synthetic_excluded
CD008176_pub3_excl_71,Topic-related study 71,"",Author_2264,1994,0,CD008176_pub3,synthetic_excluded
CD015328_pub2_excl_157,Topic-related study 157,"",Author_1433,2017,0,CD015328_pub2,synthetic_excluded
CD003962_pub3_excl_1,Topic-related study 1,"",Author_9466,2006,0,CD003962_pub3,synthetic_excluded
CD014965_pub2_excl_10,Topic-related study 10,"",Author_8123,2019,0,CD014965_pub2,synthetic_excluded
CD015373_pub2_excl_27,Topic-related study 27,"",Author_2378,1998,0,CD015373_pub2,synthetic_excluded
CD004184_pub3_excl_14,Topic-related study 14,"",Author_6914,2005,0,CD004184_pub3,synthetic_excluded
CD012186_pub2_excl_127,Topic-related study 127,"",Author_4239,2012,0,CD012186_pub2,synthetic_excluded
CD008176_pub3_64,Rabizadeh 2018,"",Rabizadeh,2018,1,CD008176_pub3,pairwise70_included
CD011381_pub3_6,AFFIRM 2006,"",AFFIRM,2006,1,CD011381_pub3,pairwise70_included
CD013295_pub2_58,Peng 2021,"",Peng,2021,1,CD013295_pub2,pairwise70_included
CD007859_pub5_23,Erdinç 2004,"",Erdinç,2004,1,CD007859_pub5,pairwise70_included
CD003598_pub3_23,Wilkie 1994,"",Wilkie,1994,1,CD003598_pub3,pairwise70_included
CD015120_pub2_3,Baker 2016,"",Baker,2016,1,CD015120_pub2,pairwise70_included
CD010856_pub3_excl_14,Topic-related study 14,"",Author_1288,1969,0,CD010856_pub3,synthetic_excluded
CD013358_pub2_excl_27,Topic-related study 27,"",Author_3741,2019,0,CD013358_pub2,synthetic_excluded
CD013197_pub2_16,Coviello 2023,"",Coviello,2023,1,CD013197_pub2,pairwise70_included
CD008176_pub3_31,PATH 2014,"",PATH,2014,1,CD008176_pub3,pairwise70_included
CD008709_pub4_excl_29,Topic-related study 29,"",Author_8945,2014,0,CD008709_pub4,synthetic_excluded
CD016136_excl_31,Topic-related study 31,"",Author_6223,2021,0,CD016136,synthetic_excluded
CD003598_pub3_excl_10,Topic-related study 10,"",Author_1036,1986,0,CD003598_pub3,synthetic_excluded
CD002042_pub6_6,Carson 1998,"",Carson,1998,1,CD002042_pub6,pairwise70_included
CD016136_5,Delaney 2022,"",Delaney,2022,1,CD016136,pairwise70_included
CD015588_pub2_12,Zambrowicz 2015,"",Zambrowicz,2015,1,CD015588_pub2,pairwise70_included
CD009362_pub4_27,Imbulana 2018,"",Imbulana,2018,1,CD009362_pub4,pairwise70_included
CD001909_pub4_excl_4,Topic-related study 4,"",Author_1531,1993,0,CD001909_pub4,synthetic_excluded
CD006185_pub6_excl_18,Topic-related study 18,"",Author_4697,2015,0,CD006185_pub6,synthetic_excluded
CD013344_pub2_excl_5,Topic-related study 5,"",Author_7457,2017,0,CD013344_pub2,synthetic_excluded
CD015894_pub2_5,Oǧul 2021,"",Oǧul,2021,1,CD015894_pub2,pairwise70_included
CD005133_pub4_excl_1,Topic-related study 1,"",Author_4001,2020,0,CD005133_pub4,synthetic_excluded
CD013111_pub2_4,Orbo 2014,"",Orbo,2014,1,CD013111_pub2,pairwise70_included
CD011689_pub4_excl_60,Topic-related study 60,"",Author_4959,2011,0,CD011689_pub4,synthetic_excluded
CD010216_pub9_excl_61,Topic-related study 61,"",Author_9805,2020,0,CD010216_pub9,synthetic_excluded
CD013295_pub2_excl_70,Topic-related study 70,"",Author_7425,2018,0,CD013295_pub2,synthetic_excluded
CD012635_pub2_excl_19,Topic-related study 19,"",Author_6558,2023,0,CD012635_pub2,synthetic_excluded
CD004667_pub6_excl_4,Topic-related study 4,"",Author_6567,1995,0,CD004667_pub6,synthetic_excluded
CD008349_pub5_excl_11,Topic-related study 11,"",Author_8587,2021,0,CD008349_pub5,synthetic_excluded
CD013541_pub2_excl_28,Topic-related study 28,"",Author_7393,2020,0,CD013541_pub2,synthetic_excluded
CD013358_pub2_35,Nikkhah Ravari 2020,"",Nikkhah Ravari,2020,1,CD013358_pub2,pairwise70_included
CD011858_pub2_excl_22,Topic-related study 22,"",Author_2025,1987,0,CD011858_pub2,synthetic_excluded
CD014964_pub2_39,Pramodrao 2022,"",Pramodrao,2022,1,CD014964_pub2,pairwise70_included
CD013822_pub2_excl_16,Topic-related study 16,"",Author_8607,2007,0,CD013822_pub2,synthetic_excluded
CD016136_excl_20,Topic-related study 20,"",Author_5311,2021,0,CD016136,synthetic_excluded
CD015083_pub2_9,Hill 2011,"",Hill,2011,1,CD015083_pub2,pairwise70_included
CD007569_pub4_4,Singer 2018,"",Singer,2018,1,CD007569_pub4,pairwise70_included
CD004307_pub7_excl_68,Topic-related study 68,"",Author_4907,2016,0,CD004307_pub7,synthetic_excluded
CD010861_pub3_excl_5,Topic-related study 5,"",Author_5929,2011,0,CD010861_pub3,synthetic_excluded
CD013054_pub3_13,Tong 1996,"",Tong,1996,1,CD013054_pub3,pairwise70_included
CD007079_pub4_excl_9,Topic-related study 9,"",Author_9502,2009,0,CD007079_pub4,synthetic_excluded
CD006023_pub4_44,Lin 2010,"",Lin,2010,1,CD006023_pub4,pairwise70_included
CD011689_pub4_58,Widmer 2018,"",Widmer,2018,1,CD011689_pub4,pairwise70_included
CD015517_excl_20,Topic-related study 20,"",Author_9404,2018,0,CD015517,synthetic_excluded
CD011778_pub2_17,Karmakar 2021,"",Karmakar,2021,1,CD011778_pub2,pairwise70_included
CD008145_pub4_excl_42,Topic-related study 42,"",Author_2384,2010,0,CD008145_pub4,synthetic_excluded
CD007837_pub3_excl_14,Topic-related study 14,"",Author_5739,2018,0,CD007837_pub3,synthetic_excluded
CD003962_pub3_60,Chen 2004,"",Chen,2004,1,CD003962_pub3,pairwise70_included
CD015779_excl_9,Topic-related study 9,"",Author_7940,1957,0,CD015779,synthetic_excluded
CD001396_pub4_26,Wikander 1998,"",Wikander,1998,1,CD001396_pub4,pairwise70_included
CD013821_pub2_4,MROC 2018,"",MROC,2018,1,CD013821_pub2,pairwise70_included
CD014688_pub2_excl_8,Topic-related study 8,"",Author_6215,2009,0,CD014688_pub2,synthetic_excluded
CD014966_pub2_excl_25,Topic-related study 25,"",Author_9801,2018,0,CD014966_pub2,synthetic_excluded
CD003594_pub7_excl_25,Topic-related study 25,"",Author_5319,2018,0,CD003594_pub7,synthetic_excluded
CD013295_pub2_excl_76,Topic-related study 76,"",Author_3390,2000,0,CD013295_pub2,synthetic_excluded
CD015517_1,Dhillon 2017,"",Dhillon,2017,1,CD015517,pairwise70_included
CD013232_pub2_excl_19,Topic-related study 19,"",Author_3084,2010,0,CD013232_pub2,synthetic_excluded
CD007388_pub3_3,Bhattacharjee 2011,"",Bhattacharjee,2011,1,CD007388_pub3,pairwise70_included
CD008349_pub5_excl_6,Topic-related study 6,"",Author_1699,2019,0,CD008349_pub5,synthetic_excluded
