record_id,title,abstract,authors,year,label_included,review_id
19808428,Incidence of atrial fibrillation in relation to changing heart rate over time in hypertensive patients: the LIFE study.,"Onset of atrial fibrillation (AF) has been linked to changes in autonomic tone, with increasing heart rate (HR) immediately before AF onset in some patients suggesting a possible role of acute increases in sympathetic activity in AF onset. Although losartan therapy and decreasing ECG left ventricular hypertrophy are associated with decreased AF incidence, the relationship of HR changes over time to development of AF has not been examined. HR was evaluated in 8828 hypertensive patients without AF by history or on baseline ECG in the Losartan Intervention for End Point Reduction in Hypertension (LIFE) study. Patients were treated with losartan- or atenolol-based regimens and followed with serial ECGs annually which were used to determine HR and ECG left ventricular hypertrophy by Cornell product and Sokolow-Lyon voltage criteria. During mean follow-up of 4.7+/-1.1 years, new-onset AF occurred in 701 patients (7.9%). Patients with new AF had smaller decreases in HR to last in-treatment ECG or last ECG before AF (-2.7+/-13.5 versus -5.2+/-12.5 bpm), whether on losartan- (-0.4+/-13.5 versus -2.2+/-11.7 bpm) or atenolol-based treatment (-5.3+/-12.8 versus -8.3+/-12.6 bpm, all P<0.001). In univariate Cox analyses, higher HR on in-treatment ECGs was associated with an increased risk of new-onset AF, with a 15% greater risk of AF for every 10 bpm higher HR (95% CI 8% to 22%). In alternative analyses, persistence or development of a HR> or =84 (upper quintile of baseline HR) was associated with a 46% greater risk of developing AF (95% CI 19% to 80%). After adjusting for treatment with losartan versus atenolol, baseline risk factors for AF, baseline and in-treatment systolic and diastolic pressure and the known predictive value of baseline and in-treatment ECG left ventricular hypertrophy for new AF, higher in-treatment HR remained strongly associated with new AF with a 19% higher risk for every 10 bpm higher HR (95% CI 10% to 28%) or a 61% increased rate of AF in patients with persistence or development of a HR> or =84 (95% CI 27% to 104%, all P<0.001). Higher in-treatment HR on serial ECGs is associated with an increased likelihood of new-onset AF, independent of treatment modality, blood pressure lowering, and regression of ECG left ventricular hypertrophy in patients with essential hypertension.",Okin,2008,0,CD000028_pub4
19808296,Determinants of ventilatory efficiency in heart failure: the role of right ventricular performance and pulmonary vascular tone.,"Ventilatory efficiency, right ventricular (RV) function, and secondary pulmonary hypertension are each prognostic indicators in patients with heart failure due to left ventricular systolic dysfunction, but the relationships among these variables have not been comprehensively investigated. In this study, we hypothesized that inefficient ventilation during exercise, as defined by an abnormally steep relationship between ventilation and carbon dioxide output (Ve/Vco(2) slope), may be a marker of secondary pulmonary hypertension and RV dysfunction in heart failure. A cohort of patients with systolic heart failure (mean+/-SD age, 58+/-13 years; left ventricular ejection fraction, 0.27+/-0.05; peak oxygen uptake, 11.2+/-3.2 mL kg(-1) min(-1)) underwent incremental cardiopulmonary exercise testing with simultaneous hemodynamic monitoring and first-pass radionuclide ventriculography before and after 12 weeks of treatment with sildenafil, a selective pulmonary vasodilator, or placebo. Ve/Vco(2) slope was positively related to rest and exercise pulmonary vascular resistance (R=0.39 and R=0.60, respectively) and rest pulmonary capillary wedge pressure (R=0.49, P<0.005 for all) and weakly indirectly related to peak exercise RV ejection fraction (R=-0.29, P=0.03). Over the 12-week study period, Ve/Vco(2) slope fell 8+/-3% (P=0.02) with sildenafil and was unchanged with placebo. Changes in Ve/Vco(2) slope correlated with changes in exercise pulmonary vascular resistance (R=0.69, P<0.001) and rest and exercise RV ejection fraction (R=-0.58 and -0.40, respectively, both P<0.05). In patients with systolic heart failure and secondary pulmonary hypertension, ventilatory efficiency is closely related to RV function and pulmonary vascular tone during exercise.",Lewis,2008,0,CD000028_pub4
19256180,Control of blood pressure in North Carolina primary care: baseline data from the GLAD Heart Trial.,"In general, adherence to blood pressure guidelines is low. We assessed whether hypertension recognition and control in North Carolina was consistent with the seventh report of the Joint National Committee on Prevention, Detection, Evaluation, and Treatment of High Blood Pressure (JNC 7) in primary care practices participating in a quality improvement study regarding the implementation of the ATP3 cholesterol management guideline in primary care in North Carolina (GLAD Heart). Demographic and clinical data were abstracted from 5,073 charts (patients aged 21-84 years, seen from June 1, 2001 to May 31, 2003) at 60 practices. Sites were non-university based primary care practices from 22 North Carolina counties. A dyslipidemia screening was defined as a lipid profile performed when not on lipid-lowering therapy. Among patients receiving a lipid profile, the proportion with diagnosed, undiagnosed, and controlled hypertension, was calculated according to JNC 7 guidelines. Practice level hypertension control was examined using the median and interquartile range across practices. Among 1,763 patients screened for dyslipidemia, 49.4% had diagnosed hypertension. Only 67 individuals (3.8%) had undiagnosed hypertension. Although 85.8% of hypertensive patients were treated, the median proportions of patients with blood pressure below goal (< 140/90, < 130/80 with diabetes) was 33.3% (21.8%-43.7%), with women more likely to be controlled and individuals treated by a solo provider less likely to be controlled. These data were abstracted from the charts of patients who received a lipid profile; therefore, they are only generalizable to individuals who are screened for hyperlipidemia. There remains a need to improve hypertension management in North Carolina primary care among patients screened for hyperlipidemia.",Rosenberger,2008,0,CD000028_pub4
19253522,Prescription pattern of anti-hypertensive drugs in a tertiary health institution in Nigeria.,"This study examined the pattern of physicians' prescription of antihypertensive drugs and its possible effects on blood pressure control as well as physicians' compliance with recommended guidelines. Records of 145 patients aged 17-91 (mean: 52.6+/-14.6) years, with male to female ratio of 1:1.2 were randomly selected. Information on antihypertensive prescriptions was recorded. Blood pressure control was defined as systolic and diastolic blood pressure less than 140 mm Hg and 90 mmHg, respectively. Of the 145 patients studied, 20% (29) were on monotherapy and 80% (116) on combination therapy. Of the patients on combination therapy, 61.2% (71), 33.6% (39) and 5.2% (6) were on 2, 3 and 4 drugs, respectively. Diuretic was the most frequently p rescribed drug either as a single agent (44.8%) or as combination therapy (88.8%). Mean reductions in both systolic and diastolic blood pressures were more in patients on calcium channel blocker than those on diuretic monotherapy (t=2.5 and 3.6 for reductions in systolic and diastolic BP, respectively; P<.05 for both), and, in patients on combination therapy than those on monotherapy (t=3.64 and 3.27 for reductions in systolic and diastolic BP, respectively; P<.01 for both). Blood pressure control rate was 30.5%. Our results are consistent with the previously observed benefits of antihypertensive combination therapy, and demonstrate an apparent higher efficacy of calcium channel blocker monotherapy than diuretic monotherapy in blood pressure lowering in the study population. Major limitations of this work include its retrospective nature and the inability to determine the actual patients' adherence to therapy.",Etuk,2008,0,CD000028_pub4
19134274,[Impact of patient compliance on the outcomes in hypertensive patients receiving hydrochlorothiazide based combination therapy with spironolactone or captopril].,"To explore the impact of patient compliance on the long-term outcomes in hypertensive patients receiving hydrochlorothiazide (HCTZ) based combination therapy with spironolactone or captopril. A total of 853 patients with mild to moderate hypertension were recruited and randomly divided into HCTZ group (HCTZ 12.5 mg q.d), spironolactone group (HCTZ 12.5 mg q.d and spironolactone 20 mg q.d), and captopril group (HCTZ 12.5 mg q.d and captopril 25 mg bid) after 2-week placebo washout period and 6-week loading period for HCTZ. Since the efficacy of combination therapy was proven to be better than monotherapy 1 year after therapy beginning, patients in HCTZ group were randomly assigned to spironolactone group or captopril group. The patients were followed up for 4 years. Patients were divided to compliance (n = 424) or non-compliance group (n = 429) according test drug taking questionnaire. During the follow-up time, the blood pressure and the outcomes were recorded monthly, and blood biochemical parameters were determined once a year. At the end of follow up, incidence of cardio-cerebral vascular events was significantly lower in compliance group (2 fatal, 8 non-fatal) than that in noncompliance group (7 fatal, 21 non-fatal, P < 0.05). Systolic blood pressure [-(19.4 +/- 20.6) mm Hg, 1 mm Hg = 0.133 kPa] and diastolic blood pressure [-(10.7 +/- 13.5) mm Hg] were significantly reduced compared values at baseline and noncompliance group (all P < 0.001) while the reduction did not reach statistically significance in noncompliance group [-(7.3 +/- 18.2) mm Hg and -(3.5 +/- 10.2) mm Hg, all P > 0.05 vs. baseline]. The serum BUN, Cr and UA levels in the compliance group were significantly higher and the serum K(+), CHO, LDL-C level were significantly lower than baseline values. The serum BUN, UA levels in the compliance group were significantly higher while the serum K(+), cholesterol levels were significantly lower than those in the noncompliance group (all P < 0.05). This study indicates that patient compliance could affect the long-term outcome and antihypertensive efficacy in hypertensive patients receiving HCTZ based combination therapy with spironolactone or captopril.",WU,2008,0,CD000028_pub4
19124121,Effect of simvastatin on kidney function loss in patients with coronary heart disease: findings from the Scandinavian Simvastatin Survival Study (4S).,"Statins have been hypothesized to slow loss of kidney function, however, data is conflicting. This study assessed whether simvastatin reduces rates of kidney function loss in participants with coronary heart disease (CHD). We performed a post hoc analysis from the Scandinavian Simvastatin Survival Study, a randomized trial of simvastatin vs. placebo in 4444 men and women with CHD. Kidney disease progression defined as the occurrence of a >or=25% reduction in estimated glomerular filtration rate (GFR) from baseline or development of chronic kidney disease (CKD), defined as estimated GFR <60 mL/min/1.73 m(2). The annual rate of change in estimated GFR was also evaluated. Estimated GFR was determined by the Modified Diet and Renal Disease Study equation. Change in kidney function could be calculated in 3842 subjects, of whom 409 had CKD at baseline. In the whole population, simvastatin significantly reduced the frequency of a >or=25% decline in kidney function [adjusted odds ratio (OR) 0.68, 95% confidence interval (CI), 0.50-0.92; p=0.01] during 5.5 years of follow-up. The adjusted annualized least-square mean decline in estimated GFR in the simvastatin group was lower than that in the placebo group (0.34 mL/min/1.73 m(2)/year vs. 0.41 mL/min/1.73 m(2)/year, respectively; p=0.02). There was no significant effect of simvastatin on kidney function in the subgroup of participants (n=363), who developed incident CKD at the end of follow-up [adjusted OR: 0.89 (95% CI 0.70-1.14; p=0.36)]. Simvastatin was associated with a moderate protective effect on the rate of kidney function loss in participants with CHD.",Huskey,2009,0,CD000028_pub4
19108791,"A 16-week, randomized, double-blind, placebo-controlled, crossover trial to quantify the combined effect of an angiotensin-converting enzyme inhibitor and a beta-blocker on blood pressure reduction.","Although beta-blockers and angiotensin-converting enzyme (ACE) inhibitors are often used together, there is a lack of quantitative evidence for the efficacy of this combination in reducing blood pressure (BP). The aim of this randomized, double-blind, placebo-controlled, crossover study was to quantify the combined effect of a beta-blocker (atenolol) and an ACE inhibitor (lisinopril) in lowering BP. Participants who were > or = 40 years of age and enrolled in the hypertension or anticoagulation clinics at St. Bartholomew's Hospital, London, United Kingdom, were randomized to 3 consecutive 4-week treatments consisting of atenolol 25 mg plus placebo, lisinopril 5 mg plus placebo, and atenolol 25 mg plus lisinopril 5 mg, plus a period of 2 placebos. At the end of each period, seated BP was measured in the right arm using electronic monitors. The mean placebo-adjusted peak BP reductions among the 47 participants (mean age, 62 [range 42-82] years; 75% male; 70% white/30% Asian; mean baseline BP, 145/82 mm Hg) who completed all 4 periods were significantly greater with the combination of both drugs than with either drug alone (P < 0.001). The systolic reductions were 22.9 mm Hg with combination treatment, 16.1 mm Hg with atenolol treatment, and 12.5 mm Hg with lisinopril treatment, and the diastolic reductions were 13.9, 9.8, and 6.8 mm Hg, respectively. The BP-lowering effect of the 2 drugs together was similar to that expected from the sum of each alone, allowing for the reduced effect of 1 drug given the lower pretreatment BP due to the other. The incremental systolic BP reduction from the 2 drugs together compared with 1 alone was 79% (95% CI, 54%-126%) of the expected additive effect, 88% (95% CI, 58%-130%) for diastolic BP, and 84% (95% CI, 65%-118%) for the mean of systolic and diastolic BP. The combination of the beta-blocker atenolol 25 mg plus the ACE inhibitor lisinopril 5 mg was associated with a significantly greater decrease in BP compared with either alone. The BP reduction with the combination treatment was similar to and statistically consistent with the 2 drugs having additive effects. Clinical Trials Identification Number: ISRCTN97280940.",Wald,2008,0,CD000028_pub4
19103995,Impact of statin therapy on central aortic pressures and hemodynamics: principal results of the Conduit Artery Function Evaluation-Lipid-Lowering Arm (CAFE-LLA) Study.,"Statins reduce the risk of cardiovascular events in people with hypertension. This benefit could arise from a beneficial effect of statins on central aortic pressures and hemodynamics. The Conduit Artery Function Evaluation-Lipid-Lowering Arm (CAFE-LLA) study, an Anglo-Scandinavian Cardiac Outcomes Trial (ASCOT) substudy, investigated this hypothesis in a prospective placebo-controlled study of treated patients with hypertension. CAFE-LLA recruited 891 patients randomized to atorvastatin 10 mg/d or placebo from 5 centers in the United Kingdom and Ireland. Radial artery applanation tonometry and pulse-wave analysis were used to derive central aortic pressures and hemodynamic indices at repeated visits over 3.5 years of follow-up. Atorvastatin lowered low-density lipoprotein cholesterol by 32.4 mg/dL (95% confidence interval [CI], 28.6 to 36.3) and total cholesterol by 35.1 mg/dL (95% confidence interval, 30.9 to 39.4) relative to placebo. Time-averaged brachial blood pressure was similar in CAFE-LLA patients randomized to atorvastatin or placebo (change in brachial systolic blood pressure, -0.1 mm Hg [95% CI, -1.8 to 1.6], P=0.9; change in brachial pulse pressure, -0.02 mm Hg [95% CI, -1.6 to 1.6], P=0.9). Atorvastatin did not influence central aortic pressures (change in aortic systolic blood pressure, -0.5 mm Hg [95% CI, -2.3 to 1.2], P=0.5; change in aortic pulse pressure, -0.4 mm Hg [95% CI, -1.9 to 1.0], P=0.6) and had no influence on augmentation index (change in augmentation index, -0.4%; 95% CI, -1.7 to 0.8; P=0.5) or heart rate (change in heart rate, 0.25 bpm; 95% CI, -1.3 to 1.8; P=0.7) compared with placebo. The effect of statin or placebo therapy was not modified by the blood pressure-lowering treatment strategy in the factorial design. Statin therapy sufficient to significantly reduce cardiovascular events in treated hypertensive patients in ASCOT did not influence central aortic blood pressure or hemodynamics in a large representative cohort of ASCOT patients in CAFE-LLA.",Williams,2009,0,CD000028_pub4
19101780,Olmesartan clinical trial in Okinawan patients under OKIDS (OCTOPUS) study: design and methods.,"Guidelines for treatment of hypertension are not available for chronic hemodialysis (HD) population, despite the high mortality rate due to cardiovascular disease (CVD). Survival is much better among hypertensive patients than normal to hypotensive patients. Target levels of blood pressure and the class of antihypertensive drugs have not been examined in prospective studies. We designed a prospective randomized controlled study among hypertensive HD patients in Okinawa (Okinawa Dialysis Study, OKIDS). The outcomes will be compared between two treatment regimens, such as (1) renin-angiotensin system (RAS) inhibitor Olmesartan and others, and (2) antihypertensive drugs without RAS inhibitors, in a parallel fashion. The title of the study is Olmesartan Clinical Trial in Okinawan Patients under OKIDS (OCTOPUS). Outcomes are any cause of death and CVD in 3 years in a total of 462 patients. Subjects are age 20-79 years and ambulatory on thrice weekly HD treatment. Eligible patients have resistant hypertension: pre-HD session blood pressure 140/90 mmHg and over for more than 1 month regardless with the use of antihypertensive drugs. Patients treated with RAS drugs are eligible if they continue to be hypertensive for more than 1 month after switching to non-RAS antihypertensive drugs. This study provides evidence for the target levels of blood pressure at a pre-HD session and the impact of RAS inhibitors. We also evaluate the usefulness of home blood pressure monitoring in HD patients.",Iseki,2009,0,CD000028_pub4
19090876,Blood pressure control by drug group in the Antihypertensive and Lipid-Lowering Treatment to Prevent Heart Attack Trial (ALLHAT).,"Blood pressure (BP) control rates and number of antihypertensive medications were compared (average follow-up, 4.9 years) by randomized groups: chlorthalidone, 12.5-25 mg/d (n=15,255), amlodipine 2.5-10 mg/d (n=9048), or lisinopril 10-40 mg/d (n=9054) in a randomized double-blind hypertension trial. Participants were hypertensives aged 55 or older with additional cardiovascular risk factor(s), recruited from 623 centers. Additional agents from other classes were added as needed to achieve BP control. BP was reduced from 145/83 mm Hg (27% control) to 134/76 mm Hg (chlorthalidone, 68% control), 135/75 mm Hg (amlodipine, 66% control), and 136/76 mm Hg (lisinopril, 61% control) by 5 years; the mean number of drugs prescribed was 1.9, 2.0, and 2.1, respectively. Only 28% (chlorthalidone), 24% (amlodipine), and 24% (lisinopril) were controlled on monotherapy. BP control was achieved in the majority of each randomized group-a greater proportion with chlorthalidone. Over time, providers and patients should expect multidrug therapy to achieve BP <140/90 mm Hg in a majority of patients.",Cushman,2008,0,CD000028_pub4
19090875,"Efficacy, safety, and pharmacokinetics of candesartan cilexetil in hypertensive children aged 6 to 17 years.","This 4-week randomized, double blind, placebo-controlled study (N=240), 1-year open label trial (N=233), and single-dose pharmacokinetic study (N=22) evaluated candesartan cilexetil (3 doses) in hypertensive children aged 6 to 17 years. Seventy-one percent were 12 years of age or older, 71% were male, and 47% were black. Systolic (SBP)/diastolic (DBP) blood pressure declined 8.6/4.8-11.2/8.0 mm Hg with candesartan and 3.7/1.8 mm Hg with placebo (P<.01 compared to placebo for SBP and for the mid and high doses for DBP; placebo-corrected 4.9/3.0-7.5/6.2 mm Hg). The slopes for dose were not, however, different from zero (P>.05). The response rate (SBP and DBP <95th percentile) after 1 year was 53%. The pharmacokinetic profiles in 6- to 12- and 12- to 17-year-olds were similar and were comparable to adults. Eight candesartan patients discontinued treatment because of an adverse event. Candesartan is an effective, well-tolerated antihypertensive agent for children aged 6 to 17 years and has a pharmacokinetic profile that is similar to that in adults.",Trachtman,2008,0,CD000028_pub4
19081416,Prognostic importance of hemoglobin in hypertensive patients with electrocardiographic left ventricular hypertrophy: the Losartan Intervention For End point reduction in hypertension (LIFE) study.,"The prognostic importance of hemoglobin is controversial. We investigated the prognostic importance of baseline and in-treatment hemoglobin in the LIFE study. Eight thousand one hundred ninety-four LIFE patients with hypertension and left ventricular hypertrophy with available baseline hemoglobin measurements were randomized to losartan- or atenolol-based treatment and followed for 4.8 years for end points of all-cause mortality and composite of cardiovascular death, nonfatal stroke, or nonfatal myocardial infarction. U-shaped relations were observed between deciles of baseline hemoglobin and all-cause mortality and the composite end point. In univariate Cox models, baseline hemoglobin in the lowest gender-specific decile (women/men: <12.5/13.4 g/dL) was associated with all-cause mortality (hazard ratio [HR] 2.01, 95% CI 1.64-2.64) and the composite end point (HR 1.53, 95% CI 1.27-1.85, both P < .001), whereas hemoglobin in the highest gender-specific decile (women/men: > or =15.0/16.2 g/dL) was not. The decrease in hemoglobin was higher (P < .001) in patients allocated to losartan- (14.3-13.8 g/dL) versus atenolol-based treatment (14.3-14.0 g/dL). In Cox models with the same gender-specific definitions for high and low hemoglobin as time-varying covariates with adjustment for treatment allocation and established risk factors and diseases, hemoglobin in the lowest decile was associated with higher rates of all-cause mortality (HR 3.03, 95% CI 1.89-4.85, P < .001) and the composite end point (HR 1.36, 95% CI 1.08-1.71, P < .01), whereas hemoglobin in the highest decile was not. After adjusting for other risk factors, relatively low, but not high, hemoglobin during antihypertensive treatment was associated with higher incidence of all-cause mortality and the composite end point.",Olsen,2009,0,CD000028_pub4
19058760,"Controlling hypertension and hypotension immediately post-stroke (CHHIPS): a randomised, placebo-controlled, double-blind pilot trial.","Raised blood pressure is common after acute stroke and is associated with an adverse prognosis. We sought to assess the feasibility, safety, and effects of two regimens for lowering blood pressure in patients who have had a stroke. Patients who had cerebral infarction or cerebral haemorrhage and were hypertensive (systolic blood pressure [SBP] >160 mm Hg) were randomly assigned by secure internet central randomisation to receive oral labetalol, lisinopril, or placebo if they were non-dysphagic, or intravenous labetalol, sublingual lisinopril, or placebo if they had dysphagia, within 36 h of symptom onset in this double-blind pilot trial. The doses were titrated up if target blood pressure was not reached. Analysis was by intention to treat. This trial is registered with the National Research Register, number N0484128008. 179 patients (mean age 74 [SD 11] years; SBP 181 [SD 16] mm Hg; diastolic blood pressure [DBP] 95 [SD 13] mm Hg; median National Institutes of Health stroke scale [NIHSS] score 9 [IQR 5-16] points) were randomly assigned to receive labetolol (n=58), lisinopril (n=58), or placebo (n=63) between January, 2005, and December, 2007. The primary outcome--death or dependency at 2 weeks--occurred in 61% (69) of the active and 59% (35) of the placebo group (relative risk [RR] 1.03, 95% CI 0.80-1.33; p=0.82). There was no evidence of early neurological deterioration with active treatment (RR 1.22, 0.33-4.54; p=0.76) despite the significantly greater fall in SBP within the first 24 h in this group compared with placebo (21 [17-25] mm Hg vs 11 [5-17] mm Hg; p=0.004). No increase in serious adverse events was reported with active treatment (RR 0.91, 0.69-1.12; p=0.50) but 3-month mortality was halved (9.7%vs 20.3%, hazard ratio [HR] 0.40, 95% CI 0.2-1.0; p=0.05). Labetalol and lisinopril are effective antihypertensive drugs in acute stroke that do not increase serious adverse events. Early lowering of blood pressure with lisinopril and labetalol after acute stroke seems to be a promising approach to reduce mortality and potential disability. However, in view of the small sample size, care must be taken when these results are interpreted and further evaluation in larger trials is needed.",Potter,2009,0,CD000028_pub4
19057518,Coadministered amlodipine and atorvastatin produces early improvements in arterial wall compliance in hypertensive patients with dyslipidemia.,"Combining statins with antihypertensive therapy has been demonstrated to provide an early reduction in cardiovascular events. This nested substudy of the AVALON trial assessed the effects of coadministered amlodipine and atorvastatin vs. either therapy alone or placebo on arterial compliance, to evaluate the vascular benefits of coadministered therapy. During an initial 8-week, double-blind phase, patients with concomitant hypertension and dyslipidemia were randomized into four treatment groups (placebo, amlodipine 5 mg, atorvastatin 10 mg, or coadministered amlodipine 5 mg and atorvastatin 10 mg). The sustained effect of combined therapy was evaluated during subsequent 8-week, single-blind, and 12-week, open-label periods. In the single-blind phase, all patients were coadministered amlodipine 5 mg and atorvastatin 10 mg, which were then titrated to optimize blood pressure and low-density lipoprotein cholesterol control during the open-label phase. Arterial compliance was assessed every 4 weeks using the HDI/Pulsewave CR-2000. Overall, 668 patients (61% male, mean age 55 years) were randomized to treatment. A 19% improvement in small artery compliance (C2) was observed with coadministered amlodipine and atorvastatin from baseline to week 8, which was significantly greater than with either treatment alone or with placebo (P = 0.03 to 0.0001). After 28 weeks, C2 was increased from baseline in all groups, but the overall improvement was greatest in the group receiving coadministered drugs for the entire study period (P < 0.05). Early and sustained improvement in small artery compliance was observed following coadministration of amlodipine and atorvastatin, thus demonstrating a vascular benefit with simultaneous treatment of hypertension and dyslipidemia.",Cohn,2009,0,CD000028_pub4
